,symbol,date,Ra
125,AEM.TO,20-08-2021,0.003338507
126,AEM.TO,23-08-2021,0.023469145
127,AEM.TO,24-08-2021,-0.004350187
128,AEM.TO,25-08-2021,-0.018841309
129,AEM.TO,26-08-2021,-0.004731369
130,AEM.TO,27-08-2021,0.030632206
131,AEM.TO,30-08-2021,-0.022989542
132,AEM.TO,31-08-2021,0.011094389
133,AEM.TO,01-09-2021,-0.007882297
134,AEM.TO,02-09-2021,0.003741515
135,AEM.TO,03-09-2021,0.019449985
136,AEM.TO,07-09-2021,-0.021111108
137,AEM.TO,08-09-2021,0.001384388
138,AEM.TO,09-09-2021,-0.007638301
139,AEM.TO,10-09-2021,-0.025128427
140,AEM.TO,13-09-2021,0.004279596
141,AEM.TO,14-09-2021,0.006809587
142,AEM.TO,15-09-2021,-0.000990202
143,AEM.TO,16-09-2021,-0.034702246
144,AEM.TO,17-09-2021,-0.006320323
145,AEM.TO,20-09-2021,0.001473441
146,AEM.TO,21-09-2021,-0.00324439
147,AEM.TO,22-09-2021,-0.010244285
148,AEM.TO,23-09-2021,-0.034462692
149,AEM.TO,24-09-2021,-0.010090897
150,AEM.TO,27-09-2021,-0.004378335
151,AEM.TO,28-09-2021,-0.012299132
152,AEM.TO,29-09-2021,0.034155379
153,AEM.TO,30-09-2021,0.007484965
154,AEM.TO,01-10-2021,-0.01920626
155,AEM.TO,04-10-2021,0.016157991
156,AEM.TO,05-10-2021,0.009721974
157,AEM.TO,06-10-2021,0.013662846
158,AEM.TO,07-10-2021,0.005057297
159,AEM.TO,08-10-2021,-0.001633327
160,AEM.TO,12-10-2021,0.020009471
161,AEM.TO,13-10-2021,0.033799543
162,AEM.TO,14-10-2021,0.011063865
163,AEM.TO,15-10-2021,-0.009937935
164,AEM.TO,18-10-2021,-0.013453361
165,AEM.TO,19-10-2021,0.000285176
166,AEM.TO,20-10-2021,0.006534954
167,AEM.TO,21-10-2021,0.000990762
168,AEM.TO,22-10-2021,-0.000283038
169,AEM.TO,25-10-2021,0.013911613
170,AEM.TO,26-10-2021,-0.009957348
171,AEM.TO,27-10-2021,-0.011909929
172,AEM.TO,28-10-2021,-0.025570221
173,AEM.TO,29-10-2021,-0.039548443
174,AEM.TO,01-11-2021,0.000912845
175,AEM.TO,02-11-2021,-0.015017168
176,AEM.TO,03-11-2021,0.006463638
177,AEM.TO,04-11-2021,-0.002457406
178,AEM.TO,05-11-2021,0.025206385
179,AEM.TO,08-11-2021,0.000299806
180,AEM.TO,09-11-2021,0.034620758
181,AC.TO,02-07-2021,0
182,AC.TO,05-07-2021,0.040126579
183,AC.TO,06-07-2021,-0.016461314
184,AC.TO,07-07-2021,-0.036102231
185,AC.TO,08-07-2021,0.003903206
186,AC.TO,09-07-2021,0.003111632
187,AC.TO,12-07-2021,-0.008188737
188,AC.TO,13-07-2021,-0.018175174
189,AC.TO,14-07-2021,0.004773318
190,AC.TO,15-07-2021,-0.00876853
191,AC.TO,16-07-2021,-0.029658887
192,AC.TO,19-07-2021,-0.03397261
193,AC.TO,20-07-2021,0.062830496
194,AC.TO,21-07-2021,0.030771699
195,AC.TO,22-07-2021,-0.026773293
196,AC.TO,23-07-2021,0.001993303
197,AC.TO,26-07-2021,0.015412239
198,AC.TO,27-07-2021,-0.012628424
199,AC.TO,28-07-2021,-0.007574284
200,AC.TO,29-07-2021,0.010350411
201,AC.TO,30-07-2021,-0.010750651
202,AC.TO,03-08-2021,-0.026776448
203,AC.TO,04-08-2021,-0.009917437
204,AC.TO,05-08-2021,0.031878506
205,AC.TO,06-08-2021,0.007613661
206,AC.TO,09-08-2021,-0.00680956
207,AC.TO,10-08-2021,0.018319947
208,AC.TO,11-08-2021,-0.007128743
209,AC.TO,12-08-2021,-0.02129026
210,AC.TO,13-08-2021,-0.020509333
211,AC.TO,16-08-2021,0.004135697
212,AC.TO,17-08-2021,-0.018326168
213,AC.TO,18-08-2021,0.00377588
214,AC.TO,19-08-2021,-0.011794535
215,AC.TO,20-08-2021,0.006335818
216,AC.TO,23-08-2021,0.036382641
217,AC.TO,24-08-2021,0.015310573
218,AC.TO,25-08-2021,-0.008028987
219,AC.TO,26-08-2021,-0.00201731
220,AC.TO,27-08-2021,0.010845698
221,AC.TO,30-08-2021,-0.024672677
222,AC.TO,31-08-2021,0.003678729
223,AC.TO,01-09-2021,-0.009840178
224,AC.TO,02-09-2021,-0.006614286
225,AC.TO,03-09-2021,-0.003739917
226,AC.TO,07-09-2021,0.004569022
227,AC.TO,08-09-2021,-0.02688104
228,AC.TO,09-09-2021,0.02397587
229,AC.TO,10-09-2021,-0.020575952
230,AC.TO,13-09-2021,-0.013669585
231,AC.TO,14-09-2021,-0.01647908
232,AC.TO,15-09-2021,-0.01764501
233,AC.TO,16-09-2021,0.027651576
234,AC.TO,17-09-2021,-0.003469214
235,AC.TO,20-09-2021,-0.009602911
236,AC.TO,21-09-2021,-0.005277013
237,AC.TO,22-09-2021,0.016615993
238,AC.TO,23-09-2021,0.018475327
239,AC.TO,24-09-2021,0.002126346
240,AC.TO,27-09-2021,0.03424134
241,AC.TO,28-09-2021,-0.025781095
242,AC.TO,29-09-2021,0
243,AC.TO,30-09-2021,-0.026030956
244,AC.TO,01-10-2021,0.063240665
245,AC.TO,04-10-2021,-0.019672725
246,AC.TO,05-10-2021,-0.01585344
247,AC.TO,06-10-2021,-0.023831
248,AC.TO,07-10-2021,-0.00561431
249,AC.TO,08-10-2021,0
250,AC.TO,12-10-2021,0.014617629
251,AC.TO,13-10-2021,-0.016351526
252,AC.TO,14-10-2021,-0.004783571
253,AC.TO,15-10-2021,0.005650917
254,AC.TO,18-10-2021,0.00777206
255,AC.TO,19-10-2021,-0.004310352
256,AC.TO,20-10-2021,-0.007805807
257,AC.TO,21-10-2021,0.007805807
258,AC.TO,22-10-2021,-0.010421284
259,AC.TO,25-10-2021,0.006525975
260,AC.TO,26-10-2021,-0.005653375
261,AC.TO,27-10-2021,-0.024278439
262,AC.TO,28-10-2021,-0.005376312
263,AC.TO,29-10-2021,-0.003149564
264,AC.TO,01-11-2021,0.036287122
265,AC.TO,02-11-2021,0.042957913
266,AC.TO,03-11-2021,0.037987046
267,AC.TO,04-11-2021,-0.006030249
268,AC.TO,05-11-2021,0.060245083
269,AC.TO,08-11-2021,-0.005711
270,AC.TO,09-11-2021,0.00836503
271,AGI.TO,02-07-2021,0
272,AGI.TO,05-07-2021,0.009312028
273,AGI.TO,06-07-2021,0.012282597
274,AGI.TO,07-07-2021,-0.004077562
275,AGI.TO,08-07-2021,-0.019598324
276,AGI.TO,09-07-2021,0.007265335
277,AGI.TO,12-07-2021,-0.012487203
278,AGI.TO,13-07-2021,0.032958656
279,AGI.TO,14-07-2021,0.031906953
280,AGI.TO,15-07-2021,0.005870931
281,AGI.TO,16-07-2021,-0.034743045
282,AGI.TO,19-07-2021,-0.00913229
283,AGI.TO,20-07-2021,-0.005110004
284,AGI.TO,21-07-2021,0.01827454
285,AGI.TO,22-07-2021,-0.006054381
286,AGI.TO,23-07-2021,-0.006091362
287,AGI.TO,26-07-2021,0.026132124
288,AGI.TO,27-07-2021,-0.004972688
289,AGI.TO,28-07-2021,0.009920672
290,AGI.TO,29-07-2021,-0.0009876
291,AGI.TO,30-07-2021,0.001974325
292,AGI.TO,03-08-2021,0.006879653
293,AGI.TO,04-08-2021,0.030860653
294,AGI.TO,05-08-2021,-0.065742111
295,AGI.TO,06-08-2021,-0.020492532
296,AGI.TO,09-08-2021,-0.02303767
297,AGI.TO,10-08-2021,-0.01386688
298,AGI.TO,11-08-2021,0.026498676
299,AGI.TO,12-08-2021,-0.011573093
300,AGI.TO,13-08-2021,0.025079679
301,AGI.TO,16-08-2021,-0.006211068
302,AGI.TO,17-08-2021,-0.010438672
303,AGI.TO,18-08-2021,-0.024430263
304,AGI.TO,19-08-2021,0
305,AGI.TO,20-08-2021,0.004291833
306,AGI.TO,23-08-2021,0.031614928
307,AGI.TO,24-08-2021,-0.003116924
308,AGI.TO,25-08-2021,-0.008359574
309,AGI.TO,26-08-2021,0.021796461
310,AGI.TO,27-08-2021,0.033319493
311,AGI.TO,30-08-2021,-0.024121666
312,AGI.TO,31-08-2021,0.01313813
313,AGI.TO,01-09-2021,-0.016194716
314,AGI.TO,02-09-2021,0.0050892
315,AGI.TO,03-09-2021,0.023081754
316,AGI.TO,07-09-2021,-0.02919193
317,AGI.TO,08-09-2021,0.002041013
318,AGI.TO,09-09-2021,-0.018519067
319,AGI.TO,10-09-2021,-0.022048196
320,AGI.TO,13-09-2021,0.034432096
321,AGI.TO,14-09-2021,0.01020433
322,AGI.TO,15-09-2021,0.008317164
323,AGI.TO,16-09-2021,-0.047578742
324,AGI.TO,17-09-2021,0.003173058
325,AGI.TO,20-09-2021,0.01675424
326,AGI.TO,21-09-2021,-0.01359143
327,AGI.TO,22-09-2021,-0.006335869
328,AGI.TO,23-09-2021,-0.039983709
329,AGI.TO,24-09-2021,-0.005527752
330,AGI.TO,27-09-2021,0.001107931
331,AGI.TO,28-09-2021,0.004419821
332,AGI.TO,29-09-2021,-0.015555769
333,AGI.TO,30-09-2021,0.019956252
334,AGI.TO,01-10-2021,-0.007713598
335,AGI.TO,04-10-2021,0.019716019
336,AGI.TO,05-10-2021,0.01613797
337,AGI.TO,06-10-2021,0.006382944
338,AGI.TO,07-10-2021,-0.011733347
339,AGI.TO,08-10-2021,-0.00862092
340,AGI.TO,12-10-2021,0.027750027
341,AGI.TO,13-10-2021,0.038208047
342,AGI.TO,14-10-2021,0.021053475
343,AGI.TO,15-10-2021,-0.007968233
344,AGI.TO,18-10-2021,-0.013085242
345,AGI.TO,19-10-2021,-0.002028312
346,AGI.TO,20-10-2021,0.009095435
347,AGI.TO,21-10-2021,-0.003022696
348,AGI.TO,22-10-2021,-0.002020016
349,AGI.TO,25-10-2021,0.021011143
350,AGI.TO,26-10-2021,0.000989617
351,AGI.TO,27-10-2021,0.011799542
352,AGI.TO,28-10-2021,-0.063561376
353,AGI.TO,29-10-2021,-0.044735925
354,AGI.TO,01-11-2021,0.014061889
355,AGI.TO,02-11-2021,0.005356134
356,AGI.TO,03-11-2021,0.011683709
357,AGI.TO,04-11-2021,0.002109616
358,AGI.TO,05-11-2021,0.039261241
359,AGI.TO,08-11-2021,0.00907729
360,AGI.TO,09-11-2021,0.026747422
361,AQN.TO,02-07-2021,0
362,AQN.TO,05-07-2021,0.008588323
363,AQN.TO,06-07-2021,0.00426674
364,AQN.TO,07-07-2021,0.004248559
365,AQN.TO,08-07-2021,-0.010119977
366,AQN.TO,09-07-2021,0.004806439
367,AQN.TO,12-07-2021,0.00159699
368,AQN.TO,13-07-2021,-0.005333213
369,AQN.TO,14-07-2021,0.001602855
370,AQN.TO,15-07-2021,0.009564408
371,AQN.TO,16-07-2021,0.014698392
372,AQN.TO,19-07-2021,-0.006272883
373,AQN.TO,20-07-2021,0.002095424
374,AQN.TO,21-07-2021,0.006779582
375,AQN.TO,22-07-2021,-0.001040058
376,AQN.TO,23-07-2021,0.008806047
377,AQN.TO,26-07-2021,-0.007246313
378,AQN.TO,27-07-2021,0.006730442
379,AQN.TO,28-07-2021,0.000515871
380,AQN.TO,29-07-2021,0.013319974
381,AQN.TO,30-07-2021,0.011636789
382,AQN.TO,03-08-2021,0
383,AQN.TO,04-08-2021,0.002010133
384,AQN.TO,05-08-2021,0.008000016
385,AQN.TO,06-08-2021,-0.004492217
386,AQN.TO,09-08-2021,0
387,AQN.TO,10-08-2021,-0.006020983
388,AQN.TO,11-08-2021,0
389,AQN.TO,12-08-2021,-0.018796575
390,AQN.TO,13-08-2021,0.002049109
391,AQN.TO,16-08-2021,0.004085871
392,AQN.TO,17-08-2021,0.003561391
393,AQN.TO,18-08-2021,-0.007647262
394,AQN.TO,19-08-2021,0.010689909
395,AQN.TO,20-08-2021,0.016072617
396,AQN.TO,23-08-2021,-0.007000037
397,AQN.TO,24-08-2021,-0.004022037
398,AQN.TO,25-08-2021,-0.003027295
399,AQN.TO,26-08-2021,-0.003036538
400,AQN.TO,27-08-2021,-0.002537365
401,AQN.TO,30-08-2021,0
402,AQN.TO,31-08-2021,-0.00458368
403,AQN.TO,01-09-2021,0.003058154
404,AQN.TO,02-09-2021,0.001017259
405,AQN.TO,03-09-2021,-0.003054937
406,AQN.TO,07-09-2021,-0.004600079
407,AQN.TO,08-09-2021,0.013231746
408,AQN.TO,09-09-2021,-0.00557673
409,AQN.TO,10-09-2021,-0.010219818
410,AQN.TO,13-09-2021,0.002564802
411,AQN.TO,14-09-2021,0
412,AQN.TO,15-09-2021,0.00561936
413,AQN.TO,16-09-2021,0
414,AQN.TO,17-09-2021,-0.005107188
415,AQN.TO,20-09-2021,-0.004618966
416,AQN.TO,21-09-2021,0.001541992
417,AQN.TO,22-09-2021,0.002564802
418,AQN.TO,23-09-2021,-0.012371329
419,AQN.TO,24-09-2021,-0.005721716
420,AQN.TO,27-09-2021,0
421,AQN.TO,28-09-2021,-0.015685554
422,AQN.TO,29-09-2021,0.007474621
423,AQN.TO,30-09-2021,-0.012309441
424,AQN.TO,01-10-2021,-0.00107764
425,AQN.TO,04-10-2021,0.006983698
426,AQN.TO,05-10-2021,-0.008062339
427,AQN.TO,06-10-2021,-0.003784919
428,AQN.TO,07-10-2021,-0.009251658
429,AQN.TO,08-10-2021,-0.010442579
430,AQN.TO,12-10-2021,0.009895682
431,AQN.TO,13-10-2021,0.013043608
432,AQN.TO,14-10-2021,0.010741188
433,AQN.TO,15-10-2021,-0.005893293
434,AQN.TO,18-10-2021,-0.003229389
435,AQN.TO,19-10-2021,0.00751894
436,AQN.TO,20-10-2021,0
437,AQN.TO,21-10-2021,0.000534902
438,AQN.TO,22-10-2021,0.00053451
439,AQN.TO,25-10-2021,-0.005358962
440,AQN.TO,26-10-2021,0
441,AQN.TO,27-10-2021,-0.043939083
442,AQN.TO,28-10-2021,0.000561381
443,AQN.TO,29-10-2021,0.001121705
444,AQN.TO,01-11-2021,0.006147043
445,AQN.TO,02-11-2021,0
446,AQN.TO,03-11-2021,-0.006147043
447,AQN.TO,04-11-2021,-0.001683086
448,AQN.TO,05-11-2021,-0.002248399
449,AQN.TO,08-11-2021,-0.005077585
450,AQN.TO,09-11-2021,0.005077585
451,ATD-B.TO,02-07-2021,0
452,ATD-B.TO,05-07-2021,-0.010304924
453,ATD-B.TO,06-07-2021,-0.023802807
454,ATD-B.TO,07-07-2021,-0.003604684
455,ATD-B.TO,08-07-2021,0.015435859
456,ATD-B.TO,09-07-2021,0.01390722
457,ATD-B.TO,12-07-2021,0.00495107
458,ATD-B.TO,13-07-2021,0.004926506
459,ATD-B.TO,14-07-2021,-0.008368158
460,ATD-B.TO,15-07-2021,0.055936699
461,ATD-B.TO,16-07-2021,-0.003061004
462,ATD-B.TO,19-07-2021,-0.013580409
463,ATD-B.TO,20-07-2021,0.015214086
464,ATD-B.TO,21-07-2021,-0.001633677
465,ATD-B.TO,22-07-2021,-0.007178764
466,ATD-B.TO,23-07-2021,0.011665
467,ATD-B.TO,26-07-2021,0.012334446
468,ATD-B.TO,27-07-2021,-0.00604714
469,ATD-B.TO,28-07-2021,-0.01077354
470,ATD-B.TO,29-07-2021,0.009357268
471,ATD-B.TO,30-07-2021,0.018058358
472,ATD-B.TO,03-08-2021,0.026296594
473,ATD-B.TO,04-08-2021,-0.010122693
474,ATD-B.TO,05-08-2021,-0.009830977
475,ATD-B.TO,06-08-2021,0.00787244
476,ATD-B.TO,09-08-2021,-0.004716031
477,ATD-B.TO,10-08-2021,0.006870164
